0, 0, 2901, 967, -1, -1, -1, -1
1, 0.012165, 474, 963, -1, -1, -1, -1
2, 0.012292, 1242, 6461, -1, -1, -1, -1
3, 0.216011, 5283, 27957, 2.71521e+14, 9.74981e+09, 0, -1
7, 0.164609, 1376, 7204, 178142, 331.165, -1, -1
6, 0.020833, 7246, 36545, 178142, 70.7551, -1, -1
7, 0.142649, 2870, 14022, 178142, 170.402, -1, -1
8, 0.072699, 2870, 13702, 27355.2, 17.9207, -1, -1
9, 0.016389, 2870, 13702, 27355.2, 9.68949, -1, -1
6, 0.012546, 5340, 24540, 27355.2, 7.31852, -1, -1
7, 0.093275, 2928, 14024, 27355.2, 6.47967, -1, -1
8, 0.04788, 2928, 13991, 260.417, 4.47094, -1, -1
9, 0.014277, 2928, 13991, 260.417, 4.36568, -1, -1
6, 0.010796, 5025, 22753, 260.417, 4.33189, -1, -1
7, 0.074933, 2983, 14268, 260.417, 4.36396, -1, -1
8, 0.041072, 2983, 14260, 260.417, 4.34269, -1, -1
9, 0.01509, 2983, 14260, 260.417, 4.28897, -1, -1
6, 0.024949, 9733, 48422, 211.023, 4.78461, -1, -1
7, 0.195694, 5190, 26656, 99.7943, 4.09016, -1, -1
8, 0.149963, 5190, 26564, 99.7943, 3.99208, -1, -1
9, 0.02641, 5190, 26564, 98.4535, 3.83742, -1, -1
6, 0.017783, 7877, 38547, 98.4535, 3.96141, -1, -1
7, 0.12208, 5231, 26750, 98.4535, 3.84058, -1, -1
8, 0.085208, 5231, 26736, 98.4535, 3.82052, -1, -1
9, 0.026793, 5231, 26736, 98.2906, 3.75584, -1, -1
6, 0.023103, 10218, 51418, 76.9457, 4.22588, -1, -1
7, 0.205234, 6415, 33508, 25.6941, 3.80089, -1, -1
8, 0.134692, 6415, 33434, 19.7665, 3.75607, -1, -1
9, 0.033978, 6415, 33434, 18.3337, 3.65574, -1, -1
6, 0.017704, 8694, 43263, 18.3337, 3.79317, -1, -1
7, 0.130552, 6439, 33634, 16.4032, 3.67376, -1, -1
8, 0.097015, 6439, 33626, 16.4032, 3.66393, -1, -1
9, 0.032486, 6439, 33626, 15.863, 3.61695, -1, -1
6, 0.017294, 8344, 41488, 15.863, 3.7332, -1, -1
7, 0.118858, 6421, 33544, 15.863, 3.62813, -1, -1
8, 0.092109, 6421, 33538, 15.863, 3.62188, -1, -1
9, 0.032967, 6421, 33538, 15.6915, 3.59792, -1, -1
6, 0.017857, 8513, 42744, 17.7604, 3.78248, -1, -1
7, 0.166438, 6700, 35124, 12.9344, 3.63355, -1, -1
8, 0.102018, 6700, 35117, 11.9125, 3.62118, -1, -1
9, 0.033005, 6700, 35117, 11.5212, 3.59245, -1, -1
6, 0.016762, 8194, 41039, 11.5212, 3.68327, -1, -1
7, 0.138005, 6689, 35083, 11.5212, 3.59999, -1, -1
8, 0.090957, 6689, 35081, 11.5212, 3.59642, -1, -1
9, 0.03143, 6689, 35081, 9.21681, 3.58351, -1, -1
7, 0.123721, 6614, 34704, 9.21681, 3.58146, -1, -1
4, 3.05368, 6614, 34704, 9.21681, 3.58146, -1, -1
5, 0.074764, 2130, 7235, 7.78334, 3.72886, -1, -1
-1, 3.36891, 2130, 7235, 7.78334, 3.72886, 0, 34
